Categories,Variable,Value
In-between,attendance,8
In-between,dressing_properly,25
In-between,motivation_initiative,31
In-between,Punctuality,14
In-between,working_data_numbers,47
In-between,working_with_people,12
In-between,Writing_skills,43
Strong,attendance,50
Strong,dressing_properly,62
Strong,motivation_initiative,62
Strong,Punctuality,49
Strong,working_data_numbers,56
Strong,working_with_people,73
Strong,Writing_skills,62
Very_strong,attendance,73
Very_strong,dressing_properly,41
Very_strong,motivation_initiative,35
Very_strong,Punctuality,67
Very_strong,working_data_numbers,23
Very_strong,working_with_people,40
Very_strong,Writing_skills,17
Very_weak,attendance,0
Very_weak,dressing_properly,2
Very_weak,motivation_initiative,3
Very_weak,Punctuality,3
Very_weak,working_data_numbers,2
Very_weak,working_with_people,3
Very_weak,Writing_skills,3
Weak,attendance,3
Weak,dressing_properly,4
Weak,motivation_initiative,3
Weak,Punctuality,1
Weak,working_data_numbers,6
Weak,working_with_people,2
Weak,Writing_skills,9
